Processo,Data,Valor
00804423620254039900,28/03/2025,"261.801,18"
00804458820254039900,28/03/2025,"126.609,15"
00804484320254039900,28/03/2025,"121.117,51"
00804519520254039900,28/03/2025,"149.996,79"
00804528020254039900,28/03/2025,"192.290,68"
00804536520254039900,28/03/2025,"108.921,42"
00804545020254039900,28/03/2025,"105.964,50"
00804649420254039900,28/03/2025,"111.125,26"
00804666420254039900,28/03/2025,"303.617,67"
00804718620254039900,28/03/2025,"103.261,05"
00804735620254039900,28/03/2025,"218.233,04"
00804787820254039900,28/03/2025,"102.653,13"
00804804820254039900,28/03/2025,"110.566,73"
00804821820254039900,28/03/2025,"133.199,03"
00804857020254039900,28/03/2025,"458.454,54"
00804934720254039900,28/03/2025,"575.141,78"
00805020920254039900,28/03/2025,"585.499,26"
00805307420254039900,28/03/2025,"233.639,67"
00805315920254039900,28/03/2025,"270.286,86"
00805341420254039900,28/03/2025,"122.264,39"
00805359620254039900,28/03/2025,"326.224,27"
00805368120254039900,28/03/2025,"354.425,74"
00805393620254039900,28/03/2025,"321.520,70"
00805402120254039900,28/03/2025,"331.995,17"
00805410620254039900,28/03/2025,"301.411,95"
00805428820254039900,28/03/2025,"235.467,27"
00805437320254039900,28/03/2025,"200.475,79"
00805532020254039900,28/03/2025,"192.725,61"
00805575720254039900,28/03/2025,"652.562,75"
00805601220254039900,28/03/2025,"133.463,92"
00805619420254039900,28/03/2025,"133.463,96"
00805688620254039900,28/03/2025,"393.264,25"
00805774820254039900,28/03/2025,"283.725,62"
00805818520254039900,28/03/2025,"239.758,52"
00805835520254039900,28/03/2025,"688.138,81"
00805887720254039900,28/03/2025,"161.481,77"
00806034620254039900,28/03/2025,"294.849,07"
00806120820254039900,28/03/2025,"209.199,44"
00806147520254039900,28/03/2025,"157.505,24"
00806216720254039900,28/03/2025,"126.459,19"
00806250720254039900,28/03/2025,"97.658,20"
00806277420254039900,28/03/2025,"65.217,50"
00806311420254039900,28/03/2025,"312.186,73"
00806363620254039900,28/03/2025,"314.601,27"
00806398820254039900,28/03/2025,"65.645,11"
00806407320254039900,28/03/2025,"65.645,11"
00806415820254039900,28/03/2025,"244.749,18"
00806432820254039900,28/03/2025,"112.535,60"
00806510520254039900,28/03/2025,"714.087,06"
00806545720254039900,28/03/2025,"244.749,18"
00806614920254039900,28/03/2025,"214.147,85"
00807654120254039900,28/03/2025,"322.163,83"
00807723320254039900,28/03/2025,"226.869,02"
00807731820254039900,28/03/2025,"552.728,13"
00807758520254039900,28/03/2025,"214.557,73"
00807767020254039900,28/03/2025,"180.575,15"
00807836220254039900,28/03/2025,"242.129,25"
00807844720254039900,28/03/2025,"415.508,38"
00807853220254039900,28/03/2025,"194.118,42"
00807861720254039900,28/03/2025,"172.546,48"
00809204420254039900,28/03/2025,"134.652,36"
00809317320254039900,28/03/2025,"140.444,10"
00809438720254039900,28/03/2025,"197.377,90"
00809541920254039900,28/03/2025,"236.711,35"
00809577120254039900,28/03/2025,"166.731,96"
00809759220254039900,28/03/2025,"114.630,40"
00809784720254039900,28/03/2025,"96.011,99"
00809810220254039900,28/03/2025,"392.801,08"
00810148920254039900,28/03/2025,"220.665,26"
00810373520254039900,28/03/2025,"327.566,56"
00810901620254039900,28/03/2025,"114.111,87"
00810928320254039900,28/03/2025,"2.508,43"
00810936820254039900,28/03/2025,"2.508,43"
00811188120254039900,28/03/2025,"2.508,43"
00811205120254039900,28/03/2025,"2.506,92"
00811213620254039900,28/03/2025,"2.508,43"
00812669220254039900,28/03/2025,"114.027,70"
00812720220254039900,28/03/2025,"340.755,50"
00812772420254039900,28/03/2025,"387.548,83"
00812799120254039900,28/03/2025,"166.472,93"
00814010720254039900,28/03/2025,"107.031,17"
00814123620254039900,28/03/2025,"372.202,39"
00814158820254039900,28/03/2025,"343.673,06"
00814175820254039900,28/03/2025,"145.457,26"
00814201320254039900,28/03/2025,"306.337,21"
00814219520254039900,28/03/2025,"366.534,27"
00814228020254039900,28/03/2025,"244.596,44"
00814245020254039900,28/03/2025,"204.603,61"
00814253520254039900,28/03/2025,"448.654,92"
00814262020254039900,28/03/2025,"293.057,33"
00814270520254039900,28/03/2025,"302.189,40"
